income,gsv_apartments,gsv_commercial,gsv_greenery,gsv_historical,gsv_impervious,gsv_industrial,gsv_other,gsv_private,gsv_water,gsv_hue_mean,gsv_hue_std,gsv_hue_maj,gsv_saturation_mean,gsv_saturation_std,gsv_saturation_maj,gsv_brightness_mean,gsv_brightness_std,gsv_brightness_maj,gsv_entropy_mean,gsv_entropy_std,gsv_entropy_maj,gsv_std_mean,gsv_std_std,gsv_std_maj,gsv_contrast_mean,gsv_contrast_std,gsv_contrast_maj,gsv_dissimilarity_mean,gsv_dissimilarity_std,gsv_dissimilarity_maj,gsv_homogeneity_mean,gsv_homogeneity_std,gsv_homogeneity_maj,gsv_ASM_mean,gsv_ASM_std,gsv_ASM_maj,gsv_energy_mean,gsv_energy_std,gsv_energy_maj,gsv_correlation_mean,gsv_correlation_std,gsv_correlation_maj
00-20 low,0,0,0,0,0,0,0,1,0,34,0,34,0.132865,0.010509,0.118274,0.528873,0.029187,0.501643,2.041033,0.100464,1.910984,0.22132,0.00699,0.212695,290.139134,70.962815,192.77451,8.882169,1.678455,6.509007,0.243053,0.036451,0.21717,5.19e-4,1.99e-4,3.31e-4,0.02238,0.004245,0.018181,0.949709,0.014467,0.931741
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,3,0,1,0,0,0,0,0,0,68,28.936713,93,0.251474,0.040439,0.181799,0.477629,0.053861,0.416081,2.074243,0.067367,1.987684,0.212545,0.019775,0.174425,246.746216,58.872754,133.945313,8.876404,1.341937,6.299112,0.220226,0.03566,0.171781,3.99e-4,6.6e-5,3.15e-4,0.019911,0.001666,0.017749,0.954001,0.018537,0.918706
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,2,0,0,1,0,0,0,0,0,154.333333,81.56933,39,0.245189,0.036589000000000003,0.193666,0.599597,0.058796,0.521452,1.969175,0.067651,1.906775,0.214139,0.039013,0.159381,281.637888,112.127728,171.794026,9.236009,2.433692,6.712776,0.264058,0.079121,0.161587,7.97e-4,5.09e-4,3.66e-4,0.026887,0.008601,0.019144,0.926253,0.060462,0.841096
00-20 low,1,0,0,0,0,0,1,1,0,30,2.94392,26,0.14792,0.014833,0.130638,0.546372,0.002951,0.542274,2.057358,0.019186,2.034727,0.230391,0.013257,0.212,232.994638,5.173192,228.684283,7.391718,0.170816,7.152298,0.28448,0.009796,0.270653,6.78e-4,1.3e-5,6.68e-4,0.02603,2.42e-4,0.02584,0.96535,0.002212,0.962245
00-20 low,1,0,0,0,0,0,0,0,0,116.666667,53.977362,78,0.169988,0.051185,0.110054,0.509884,0.027779,0.479499,1.942653,0.048636,1.875976,0.18359,0.017979,0.159683,260.168066,61.778218,191.406066,7.941881,1.741978,6.5644,0.336481,0.084854,0.224311,0.00101,3.33e-4,5.6e-4,0.031286,0.005565,0.023667,0.93974,0.012218,0.924398
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,3,0,0,0,0,0,0,84.666667,2.624669,81,0.386561,0.071836,0.319154,0.497775,0.0108,0.482735,2.076278,0.063252,1.988341,0.195755,0.020674,0.170049,356.864297,46.347601,305.113143,12.141013,0.796388,11.237592,0.135424,0.015125,0.114913,2.42e-4,1e-4,1.64e-4,0.015262,0.003053,0.012808,0.923977,0.028896,0.884959
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,1,0,0,0,0,0,154.333333,84.037029,35,0.246574,0.021835,0.216746,0.640823,0.020831,0.614605,2.058857,0.093586,1.905503,0.225997,0.042616,0.157204,262.433905,63.992432,155.47886,8.200929,1.535141,5.73027,0.317477,0.04729,0.255517,8.19e-4,1.89e-4,6.22e-4,0.028428,0.003223,0.024939,0.931557,0.047433,0.852767
00-20 low,1,0,0,0,0,0,0,0,0,49.666667,20.072092,34,0.196684,0.011662,0.184124,0.562202,0.024684,0.530535,2.078768,0.051323,2.015102,0.226538,0.020454,0.208436,319.599367,113.304666,163.2072,9.702696,2.343148,6.459038,0.246095,0.068329,0.18941,7.72e-4,6.59e-4,2.75e-4,0.025408,0.011242,0.016572,0.94436,0.02597,0.921852
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
